Factory,FGSKUCode,ASSEMB_ITEM_DESC,ASSEMB_UOM,COMP_ITEM_CODE,COMP_DESC,COMP_UOM,COMP_QTY,Packing flag,retain_flag_BOM,BOM_version
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1006102226.0,OLEORESIN PAPRIKA E081524 COLO,KGM,0.0029551001205563,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1006102295.0,DRY ONION POWDER,KGM,0.0204886941691905,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1006102394.0,GINGER LIQUID,KGM,0.000788026698815,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1006102410.0,NEWLYWEDS BREADCRUMB FOR ESCAL,KGM,0.4334146843482608,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1006102560.0,WATER,KGM,1.304522355580959,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,2011104111.0,PLAIN WIMPY BAG 90*60 CM,EA,0.4728160192890117,1.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1001101108.0,CHICKEN BREAST,KGM,2.928031570633185,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1001102626.0,PHOSPHATE 450 STABILIZER,KGM,0.006523299426453,0.0,1,BOM-1
NFC,4001972236,AMC DSC BREADED SPICY CHICKEN MOSAHAB 250GM (20*1*250GM),CARTON,1006102070.0,FISH BATTER FOR AMERICANA,KGM,0.4137140168778853,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,2011104301.0,LARGE CARTON AMERICANA,EA,1.015,1.0,1,BOM-1
