Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY
3006598753,JASMIS ANGUS BEEF PATTIES,776.5,KGM,Ingredient,2011104134,WEIGHT BAGS 35*45,KGM,0.021,7.7500255931951,0,0.021
3001370869,MARINATED CHICKEN FILLET,145.5,KGM,Ingredient,1001100022,CHICKEN CALIBRATED FILLET - YIELD: 31-40 %,KGM,118,13.9401207089255,0,118
3001370869,MARINATED CHICKEN FILLET,145.5,KGM,Ingredient,1006102009,TABLE SALT,KGM,0.7,0.7,0,0.7
3001370869,MARINATED CHICKEN FILLET,145.5,KGM,Ingredient,1006102154,POLY PHOSPHATE (MIX),KGM,0.3,16.3499685329428,0,0.3
3001370869,MARINATED CHICKEN FILLET,145.5,KGM,Ingredient,1006102559,WATER,KGM,26.5,0.0104851074691908,0,26.5
3001370869,MARINATED CHICKEN FILLET,145.5,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,5,0.540041222880608,0,5
3001371555,PLANT BASE,90.73,KGM,Ingredient,1005102193,CORN OIL,KGM,17.88,9.02621250999281,0,17.88
3001371555,PLANT BASE,90.73,KGM,Ingredient,1006102404,METHOCEL MX 0209-FILET BINDER,KGM,5.36,119.546959850967,0,5.36
3001371555,PLANT BASE,90.73,KGM,Ingredient,1006102474,KERRY BINDER,KGM,1.33,31.3777269750085,0,1.33
3001371555,PLANT BASE,90.73,KGM,Ingredient,1006102559,WATER,KGM,66.17,0.0104851074691908,0,66.17
4001100218,BEEF PATTY 113 GM*120PCS,1,CRT,Ingredient,2011104301,LARGE CARTON AMERICANA,EA,1.015,2.03308961362761,0,1.015
4001100218,BEEF PATTY 113 GM*120PCS,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001100218,BEEF PATTY 113 GM*120PCS,1,CRT,Ingredient,3006598753,JASMIS ANGUS BEEF PATTIES,KGM,14.58,16.9307921522928,0,14.58
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,2011104265,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.35,1.02419134036918,0,1.35
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,2011104331,LONGANIZA CARTON,EA,1.015,1.15389574422241,0,1.015
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,2011104405,WIDE TAPE 7.5,EA,0.14,3.40654878300736,0,0.14
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,2011114478,MEGA OFFER LABEL BAR CODE,EA,6.08,0.055,0,6.08
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,2011995258,CHICKEN FRANK 3*8 NEW PROMO ROLL,MTR,1.35,0.39,0,1.35
4001350125,AMCKN FRNKSTRKY 6(4PKX340G)@28%OFF FP,1,CRT,Ingredient,3001350199,ALFAKHER FRANK CHICKEN SOYA,KGM,8.94,2.97761745278871,0,8.94
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,2011104265,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.35,1.02419134036918,0,1.35
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,2011104323,BROWN CARTON WITH HOLES,EA,1.015,0.969167429043402,0,1.015
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,2011104405,WIDE TAPE 7.5,EA,0.14,3.40654878300736,0,0.14
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,2011114477,SPECIAL OFFER LABEL BAR CODE,EA,8.08,0.055,0,8.08
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,2011995258,CHICKEN FRANK 3*8 NEW PROMO ROLL,MTR,1.35,0.39,0,1.35
4001350128,AMCKN FRNKSTRKY 8(3PKX340G)@21%OFF FP,1,CRT,Ingredient,3001350199,ALFAKHER FRANK CHICKEN SOYA,KGM,8.94,2.97761745278871,0,8.94
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,85,14.2041411538684,0,85
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,1001101102,BEEF BODY FAT,KGM,15,4.35173609807417,0,15
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,1006102005,LUNCHEON CURE NO COLOR SS-381,KGM,2.8,8.99640634075589,0,2.8
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,1006102020,GARLIC POWDER,KGM,0.1,5.20154856866033,0,0.1
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,1006102105,SUPER QUICK GOLD FOR SALAMI,KGM,1.2,88.8855153984979,0,1.2
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,1006102613,NISIN,KGM,0.02,896.277044300613,0,0.02
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,2011104134,WEIGHT BAGS 35*45,KGM,0.042,7.7500255931951,0,0.042
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,2011104138,CHICKEN MORTADELLA BAG,EA,40,1.25258991172475,0,40
3003350798,BEEF SALAMI ROLL,104.12,KGM,Ingredient,2011104201,CLIPS 744,EA,40,0.0350001633216195,0,40
4001350702,BEEF SALAMI ROLL 2.5K (3*1*2.5KG),1,CRT,Ingredient,2011104143,CHICKEN SHRINK WRAP BAGS,EA,3.5,0.907731748726655,0,3.5
4001350702,BEEF SALAMI ROLL 2.5K (3*1*2.5KG),1,CRT,Ingredient,2011104309,TURKEY ROLL CARTON,EA,1.015,1.37349031496947,0,1.015
4001350702,BEEF SALAMI ROLL 2.5K (3*1*2.5KG),1,CRT,Ingredient,2011104401,TAPE,EA,0.02,2.10075696229359,0,0.02
4001350702,BEEF SALAMI ROLL 2.5K (3*1*2.5KG),1,CRT,Ingredient,2011104482,BEEF SALAMI ROLL LABEL - N,EA,7.52,0.158,0,7.52
4001350702,BEEF SALAMI ROLL 2.5K (3*1*2.5KG),1,CRT,Ingredient,3003350798,BEEF SALAMI ROLL,KGM,8.765,13.4281804806225,0,8.765
4001371919,CATERING CHICKEN SHAWERMA 20KG,1,CRT,Ingredient,2011104317,IKEA SHAWERMA CARTON,EA,1.015,2.7314447512695,0,1.015
4001371919,CATERING CHICKEN SHAWERMA 20KG,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001371919,CATERING CHICKEN SHAWERMA 20KG,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001371919,CATERING CHICKEN SHAWERMA 20KG,1,CRT,Ingredient,3001371952,CATERING CHICKEN SHAWERMA,KGM,24.96,11.4038054523919,0,24.96
4001379103,CHICKEN SHAWERMA 360-1*15kg,1,CRT,Ingredient,2011104317,IKEA SHAWERMA CARTON,EA,1.015,2.7314447512695,0,1.015
4001379103,CHICKEN SHAWERMA 360-1*15kg,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001379103,CHICKEN SHAWERMA 360-1*15kg,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001379103,CHICKEN SHAWERMA 360-1*15kg,1,CRT,Ingredient,3001371969,CHICKEN SHAWERMA 360,KGM,19.4842,13.8372654875908,0,19.4842
4001379190,CATERING CHICKEN SHAWERMA 5 KG,1,CRT,Ingredient,2011104309,TURKEY ROLL CARTON,EA,1.015,1.37349031496947,0,1.015
