FACTCode,COMP_ITEM_CODE,MthNum,RM Cost,retain_flag
NFC,2011114220.0,7,0.10693795345166116,1
NFC,2011114220.0,8,0.10697024728827503,1
NFC,2011114220.0,9,0.10698512956186113,1
NFC,2011114220.0,10,0.10699260064235773,1
NFC,2011114220.0,11,0.1069962433332955,1
NFC,2011114220.0,12,0.1069981217534086,1
NFC,1001101002.0,1,3.855207267710872,1
NFC,1001101002.0,2,3.8200929361091145,1
NFC,1001101002.0,3,3.777712344111888,1
NFC,1001101002.0,4,3.6951087429992096,1
NFC,1001101002.0,5,3.575229931396561,1
NFC,1001101002.0,6,3.5258120159951387,1
NFC,1001101002.0,7,3.5337705516464015,1
NFC,1001101002.0,8,3.5681135949114484,1
NFC,1001101002.0,9,3.635756204464013,1
NFC,1001101002.0,10,3.6817105957542022,1
NFC,1001101002.0,11,3.724156484125385,1
NFC,1001101002.0,12,3.7540680171375285,1
NFC,1001101007.0,1,2.608925942376324,1
NFC,1001101007.0,2,2.6807982869364753,1
NFC,1001101007.0,3,2.714190618710878,1
NFC,1001101007.0,4,2.723775405321563,1
NFC,1001101007.0,5,2.6953422176624144,1
NFC,1001101007.0,6,2.682287932659609,1
NFC,1001101007.0,7,2.6839537325055716,1
NFC,1001101007.0,8,2.6848938894873355,1
NFC,1001101007.0,9,2.703903715403228,1
NFC,1001101007.0,10,2.7447542135798604,1
NFC,1001101007.0,11,2.7858022561426976,1
NFC,1001101007.0,12,2.8199987932099155,1
NFC,1006102005.0,1,2.3703477646383795,1
NFC,1006102005.0,2,2.370350539407811,1
NFC,1006102005.0,3,2.3703540091442687,1
NFC,1006102005.0,4,2.3703585407267114,1
NFC,1006102005.0,5,2.3703651029724675,1
NFC,1006102005.0,6,2.416442528923509,1
NFC,1006102005.0,7,2.4609929328406155,1
NFC,1006102005.0,8,2.482858443862772,1
NFC,1006102005.0,9,2.4932740565974827,1
NFC,1006102005.0,10,2.498613714685289,1
NFC,1006102005.0,11,2.501326443865076,1
NFC,1006102005.0,12,2.502661465921241,1
NFC,1006102008.0,1,0.9439305732840634,1
NFC,1006102008.0,2,0.9503093267923725,1
NFC,1006102008.0,3,0.9584228090563093,1
NFC,1006102008.0,4,0.9674635208077654,1
NFC,1006102008.0,5,0.9723036719582128,1
NFC,1006102008.0,6,0.986351509368999,1
NFC,1006102008.0,7,0.9920373933048763,1
NFC,1006102008.0,8,1.0059989910081084,1
NFC,1006102008.0,9,1.016541256191274,1
NFC,1006102008.0,10,1.0205206773947084,1
NFC,1006102008.0,11,1.022435950882278,1
NFC,1006102008.0,12,1.0233986877707983,1
NFC,1006102011.0,1,8.001377549505223,1
NFC,1006102011.0,2,8.001469942011202,1
NFC,1006102011.0,3,8.130942840340103,1
NFC,1006102011.0,4,8.276766780704667,1
NFC,1006102011.0,5,8.335264946538453,1
NFC,1006102011.0,6,8.367299455324577,1
NFC,1006102011.0,7,8.384666982993371,1
NFC,1006102011.0,8,8.392213214273394,1
NFC,1006102011.0,9,8.396107540153395,1
NFC,1006102011.0,10,8.398121183252721,1
NFC,1006102011.0,11,8.39905085050291,1
NFC,1006102011.0,12,8.399525383647331,1
NFC,1006102015.0,1,3.0487188845977076,1
NFC,1006102015.0,2,3.048726887523995,1
NFC,1006102015.0,3,3.048739305847153,1
NFC,1006102015.0,4,3.1605675595876974,1
NFC,1006102015.0,5,3.215529103952563,1
NFC,1006102015.0,6,3.2457763608013606,1
NFC,1006102015.0,7,3.260008474993132,1
NFC,1006102015.0,8,3.266881740187191,1
NFC,1006102015.0,9,3.270634271098849,1
NFC,1006102015.0,10,3.2724223207469034,1
NFC,1006102015.0,11,3.2732859471488673,1
NFC,1006102015.0,12,3.273709419405848,1
NFC,1006102020.0,1,1.455786399178613,1
NFC,1006102020.0,2,1.4557758160455194,1
NFC,1006102020.0,3,1.4380700282952452,1
NFC,1006102020.0,4,1.3669436307448353,1
NFC,1006102020.0,5,1.3402866915266352,1
NFC,1006102020.0,6,1.3254659695859556,1
NFC,1006102020.0,7,1.318015708090498,1
NFC,1006102020.0,8,1.3146636935896823,1
NFC,1006102020.0,9,1.3128963719644062,1
NFC,1006102020.0,10,1.3119836913368428,1
NFC,1006102020.0,11,1.311537145550096,1
NFC,1006102020.0,12,1.3113152779339934,1
NFC,1006102030.0,1,1.6093012324473728,1
NFC,1006102030.0,2,1.6093017682925348,1
NFC,1006102030.0,3,1.6547771228471868,1
NFC,1006102030.0,4,1.6953741478452757,1
NFC,1006102030.0,5,1.712774392653251,1
NFC,1006102030.0,6,1.721514116279162,1
NFC,1006102030.0,7,1.7295425223814815,1
NFC,1006102030.0,8,1.733140168472054,1
NFC,1006102030.0,9,1.7349250344875997,1
