,FACTCode,COMP_ITEM_CODE,MthNum,RM Cost,retain_flag,Available_1_to_12
60,GFC,1001101130.0,1,2.4446170428385234,1.0,True
61,GFC,1001101130.0,2,2.4699409912096244,1.0,True
62,GFC,1001101130.0,3,2.4834446474886898,1.0,True
63,GFC,1001101130.0,4,2.49069168988444,1.0,True
64,GFC,1001101130.0,5,2.494810580985046,1.0,True
65,GFC,1001101130.0,6,2.4971286654441047,1.0,True
66,GFC,1001101130.0,7,2.498497094576949,1.0,True
67,GFC,1001101130.0,8,2.4992435895934446,1.0,True
68,GFC,1001101130.0,9,2.499621263854045,1.0,True
69,GFC,1001101130.0,10,2.499810710185895,1.0,True
70,GFC,1001101130.0,11,2.499901724326751,1.0,True
71,GFC,1001101130.0,12,2.499948020430148,1.0,True
72,GFC,1001102065.0,1,1.805642040796009,1.0,True
73,GFC,1001102065.0,2,1.8198298338470955,1.0,True
74,GFC,1001102065.0,3,1.8383278114310897,1.0,True
75,GFC,1001102065.0,4,1.8445434662156197,1.0,True
76,GFC,1001102065.0,5,1.8549484269528889,1.0,True
77,GFC,1001102065.0,6,1.86428423163826,1.0,True
78,GFC,1001102065.0,7,1.8710032268756016,1.0,True
79,GFC,1001102065.0,8,1.874079065467968,1.0,True
80,GFC,1001102065.0,9,1.8789137453469127,1.0,True
81,GFC,1001102065.0,10,1.8854447023958056,1.0,True
82,GFC,1001102065.0,11,1.888793985068288,1.0,True
83,GFC,1001102065.0,12,1.891267154075711,1.0,True
84,GFC,1001102375.0,1,14.058332259417718,1.0,True
85,GFC,1001102375.0,2,13.588327637448591,1.0,True
86,GFC,1001102375.0,3,12.14646640658994,1.0,True
87,GFC,1001102375.0,4,11.193622879254267,1.0,True
88,GFC,1001102375.0,5,10.766261178219926,1.0,True
89,GFC,1001102375.0,6,10.149825816015491,1.0,True
90,GFC,1001102375.0,7,10.054338499020018,1.0,True
91,GFC,1001102375.0,8,10.054338499020018,1.0,True
92,GFC,1001102375.0,9,9.636788717088573,1.0,True
93,GFC,1001102375.0,10,9.25914113731872,1.0,True
94,GFC,1001102375.0,11,8.98625857285958,1.0,True
95,GFC,1001102375.0,12,8.77332069623297,1.0,True
96,GFC,1001102376.0,1,1.9606805172852235,1.0,True
97,GFC,1001102376.0,2,1.9697869689445264,1.0,True
98,GFC,1001102376.0,3,1.986557016989707,1.0,True
99,GFC,1001102376.0,4,1.9935110502948956,1.0,True
100,GFC,1001102376.0,5,1.9958280408303064,1.0,True
101,GFC,1001102376.0,6,1.9979474783176607,1.0,True
102,GFC,1001102376.0,7,1.998241874548471,1.0,True
103,GFC,1001102376.0,8,1.998241874548471,1.0,True
104,GFC,1001102376.0,9,1.999084771627473,1.0,True
105,GFC,1001102376.0,10,1.9995612909727756,1.0,True
106,GFC,1001102376.0,11,1.999781280857162,1.0,True
107,GFC,1001102376.0,12,1.9998909571937773,1.0,True
108,GFC,1001102423.0,1,11.43227713134388,1.0,True
109,GFC,1001102423.0,2,11.430439142905843,1.0,True
110,GFC,1001102423.0,3,11.427585004865964,1.0,True
111,GFC,1001102423.0,4,11.426539756639588,1.0,True
112,GFC,1001102423.0,5,11.424534760855382,1.0,True
113,GFC,1001102423.0,6,11.42243045767563,1.0,True
114,GFC,1001102423.0,7,11.420682577009533,1.0,True
115,GFC,1001102423.0,8,11.419812833401563,1.0,True
116,GFC,1001102423.0,9,11.41825323418692,1.0,True
117,GFC,1001102423.0,10,11.415606720336822,1.0,True
118,GFC,1001102423.0,11,11.4139835831864,1.0,True
119,GFC,1001102423.0,12,11.41257511678245,1.0,True
120,GFC,1001102625.0,1,4.827586207,1.0,True
121,GFC,1001102625.0,2,4.827586207,1.0,True
122,GFC,1001102625.0,3,4.827586207000001,1.0,True
123,GFC,1001102625.0,4,4.827586207,1.0,True
124,GFC,1001102625.0,5,4.827586207,1.0,True
125,GFC,1001102625.0,6,4.827586207,1.0,True
126,GFC,1001102625.0,7,4.827586207,1.0,True
127,GFC,1001102625.0,8,4.827586207,1.0,True
128,GFC,1001102625.0,9,4.827586207,1.0,True
129,GFC,1001102625.0,10,4.827586206999999,1.0,True
130,GFC,1001102625.0,11,4.827586206999998,1.0,True
131,GFC,1001102625.0,12,4.827586206999999,1.0,True
132,GFC,1001102626.0,1,4.7651099779482,1.0,True
133,GFC,1001102626.0,2,4.765090488319201,1.0,True
134,GFC,1001102626.0,3,4.765077347927762,1.0,True
135,GFC,1001102626.0,4,4.765067630689923,1.0,True
136,GFC,1001102626.0,5,4.765059501678753,1.0,True
137,GFC,1001102626.0,6,4.765053009403816,1.0,True
138,GFC,1001102626.0,7,4.765048008132301,1.0,True
139,GFC,1001102626.0,8,4.765043431028098,1.0,True
140,GFC,1001102626.0,9,4.765039686142824,1.0,True
