FACTCode,COMP_ITEM_CODE,MthNum,RM Cost,retain_flag,RM Cost Change
GFC,2012104330.0,12,0.7986245982033118,1,0.06711709980375957
KFC,1001102626.0,1,6.53787066622627,1,0.0
KFC,1001102626.0,2,6.383468907563317,1,-2.3616520813201647
KFC,1001102626.0,3,6.030561479091385,1,-5.528458485225752
KFC,1001102626.0,4,5.848524551785126,1,-3.0185734435740463
KFC,1001102626.0,5,5.774646909788955,1,-1.263184267109252
KFC,1001102626.0,6,5.732990071381049,1,-0.7213746408856858
KFC,1001102626.0,7,5.716201487043924,1,-0.2928416782183696
KFC,1001102626.0,8,5.703954011226103,1,-0.2142589942915829
KFC,1001102626.0,9,5.699393529749098,1,-0.07995298468448375
KFC,1001102626.0,10,5.697089922685964,1,-0.04041845945730316
KFC,1001102626.0,11,5.695921892282173,1,-0.020502228675378653
KFC,1001102626.0,12,5.695350970112615,1,-0.01002334969395502
KFC,1005102205.0,1,1.973048354727928,1,0.0
KFC,1005102205.0,2,1.975290127530828,1,0.11361975987704831
KFC,1005102205.0,3,1.9778082247368405,1,0.12747986591519211
KFC,1005102205.0,4,1.980607001764764,1,0.14150901957623585
KFC,1005102205.0,5,1.983965481466555,1,0.16956820302052034
KFC,1005102205.0,6,1.988223681943888,1,0.21463077443188983
KFC,1005102205.0,7,1.9934934693881292,1,0.2650500289328006
KFC,1005102205.0,8,2.000317245767276,1,0.34230241954298357
KFC,1005102205.0,9,2.010300976709277,1,0.49910737724860876
KFC,1005102205.0,10,2.456699291520939,1,22.205546332787684
KFC,1005102205.0,11,2.6331814279151504,1,7.183709337293442
KFC,1005102205.0,12,2.7762532607811705,1,5.433421007351513
KFC,1006102028.0,1,8.644598604480812,1,0.0
KFC,1006102028.0,2,8.639897311446328,1,-0.05438416807517221
KFC,1006102028.0,3,8.634304774621192,1,-0.06472920479884126
KFC,1006102028.0,4,8.627432471076405,1,-0.07959301558345677
KFC,1006102028.0,5,8.618450642896967,1,-0.10410777725065046
KFC,1006102028.0,6,8.475888278393128,1,-1.6541530538477178
KFC,1006102028.0,7,7.799203240855965,1,-7.983647439787289
KFC,1006102028.0,8,7.542485213742846,1,-3.291592989503167
KFC,1006102028.0,9,7.434834999895363,1,-1.4272512414255423
KFC,1006102028.0,10,7.378595261115017,1,-0.7564356005363648
KFC,1006102028.0,11,7.354106906063114,1,-0.3318837012372233
KFC,1006102028.0,12,7.337911613364518,1,-0.22022106702369593
KFC,1006102046.0,1,3.657921026317304,1,0.0
KFC,1006102046.0,2,3.655007063202959,1,-0.07966172843481001
KFC,1006102046.0,3,3.535403111463192,1,-3.2723316171913375
KFC,1006102046.0,4,3.348343216563117,1,-5.291048545314448
KFC,1006102046.0,5,3.28197918034724,1,-1.9819962268980307
KFC,1006102046.0,6,3.24478469981513,1,-1.1332942254732692
KFC,1006102046.0,7,3.2241213369930497,1,-0.6368176854155361
KFC,1006102046.0,8,3.214552899747985,1,-0.2967765863920224
KFC,1006102046.0,9,3.211158072171028,1,-0.10560807934512084
KFC,1006102046.0,10,3.2092155707482557,1,-0.06049223922068858
KFC,1006102046.0,11,3.2084917021960937,1,-0.022555934190271465
KFC,1006102046.0,12,3.207933693341622,1,-0.017391625295137825
KFC,1006102198.0,1,15.038908942649318,1,0.0
KFC,1006102198.0,2,14.131044818351244,1,-6.036768543251392
KFC,1006102198.0,3,13.41775080276943,1,-5.047708961021035
KFC,1006102198.0,4,13.178026806487978,1,-1.7866183371953226
KFC,1006102198.0,5,12.934760487455604,1,-1.8459995764510517
KFC,1006102198.0,6,12.879694378617698,1,-0.4257219056457262
KFC,1006102198.0,7,12.844286549533328,1,-0.27491202852726326
KFC,1006102198.0,8,12.828734820592304,1,-0.12107896286064346
KFC,1006102198.0,9,12.82000584426844,1,-0.06804237865960516
KFC,1006102198.0,10,12.815791593067052,1,-0.032872459284194466
KFC,1006102198.0,11,12.81415270859158,1,-0.012788008166098042
KFC,1006102198.0,12,12.813208894781004,1,-0.007365401615222478
KFC,1006102281.0,1,11.996504207689584,1,0.0
KFC,1006102281.0,2,12.403669005898903,1,3.3940287200360686
KFC,1006102281.0,3,12.879861821960384,1,3.8391286951869885
KFC,1006102281.0,4,13.436441493972778,1,4.321317104997324
KFC,1006102281.0,5,14.13082867001751,1,5.167939564625157
KFC,1006102281.0,6,17.354940573320082,1,22.816155928232472
KFC,1006102281.0,7,31.293367473065068,1,80.31388434237951
KFC,1006102281.0,8,35.17294012358672,1,12.397427837898523
KFC,1006102281.0,9,36.90203286039961,1,4.915974413106761
KFC,1006102281.0,10,37.86581812359902,1,2.6117402985505134
KFC,1006102281.0,11,38.29999027221775,1,1.146607072377348
KFC,1006102281.0,12,38.5522166817431,1,0.6585547613266796
KFC,1006103008.0,1,22.14378529371192,1,0.0
KFC,1006103008.0,2,22.107217781659877,1,-0.1651366808656185
KFC,1006103008.0,3,20.490387587576578,1,-7.313585137902878
KFC,1006103008.0,4,18.921926917790984,1,-7.654616893321043
KFC,1006103008.0,5,18.108482915292505,1,-4.298949076553371
KFC,1006103008.0,6,17.682035835356405,1,-2.3549575186995297
KFC,1006103008.0,7,17.397514796149274,1,-1.609096610008065
KFC,1006103008.0,8,17.276676635720058,1,-0.694571390483667
KFC,1006103008.0,9,17.221063677095273,1,-0.3218961597614367
KFC,1006103008.0,10,17.194267699731185,1,-0.15560001325427564
KFC,1006103008.0,11,17.182283187797495,1,-0.06970062431840285
KFC,1006103008.0,12,17.174466368526975,1,-0.04549348410268772
KFC,1006103012.0,1,40.11855361660434,1,0.0
KFC,1006103012.0,2,39.63421115109417,1,-1.207277984492705
KFC,1006103012.0,3,39.09092215327632,1,-1.3707576914971709
KFC,1006103012.0,4,38.44959728584128,1,-1.6405979498779533
KFC,1006103012.0,5,37.73473363431046,1,-1.8592227279167428
KFC,1006103012.0,6,36.75783180136131,1,-2.588866380816035
KFC,1006103012.0,7,33.11289220405522,1,-9.916089765585967
KFC,1006103012.0,8,28.861875184976384,1,-12.837951432578965
KFC,1006103012.0,9,27.220046598982197,1,-5.6885721231613395
KFC,1006103012.0,10,26.29742051042762,1,-3.3895095851491863
KFC,1006103012.0,11,25.947629046597044,1,-1.330136024907369
KFC,1006103012.0,12,25.69840257648439,1,-0.9604980465270585
KFC,1006106038.0,1,3.587689242251112,1,0.0
KFC,1006106038.0,2,4.200373382848291,1,17.077402729918354
KFC,1006106038.0,3,4.340294261503533,1,3.3311533499995827
KFC,1006106038.0,4,4.465606499810896,1,2.8871830055124725
KFC,1006106038.0,5,4.533198789091476,1,1.5136194665482217
KFC,1006106038.0,6,4.55742678701954,1,0.534456992849397
KFC,1006106038.0,7,4.574766304797222,1,0.38046728094609517
KFC,1006106038.0,8,4.582286629818454,1,0.16438708603205843
KFC,1006106038.0,9,4.585809982518178,1,0.07689070947234367
