FACTCode,COMP_ITEM_CODE,RM Cost,retain_flag
GFC,1006102200.0,14.234327760998452,12
GFC,1006102208.0,4.087635242603665,12
GFC,1006102212.0,4.101679320849752,12
GFC,1006102220.0,7.479082233916003,12
GFC,1006102223.0,1.2342641858617018,12
GFC,1006102226.0,16.288338336806518,12
GFC,1006102231.0,39.22260049380659,12
GFC,1006102242.0,2.4910707338923417,12
GFC,1006102249.0,9.283209733433205,12
GFC,1006102251.0,2.400808985078631,12
GFC,1006102252.0,1.9790028570202203,12
GFC,1006102253.0,2.079984516938724,12
GFC,1006102256.0,2.8818759838046497,12
GFC,1006102275.0,1.6648600628475443,12
GFC,1006102276.0,1.8424739032362492,12
GFC,1006102280.0,9.11579431445635,12
GFC,1006102295.0,2.1162431488355056,12
GFC,1006102317.0,9.04984741312868,12
GFC,1006102324.0,4.607504711861654,12
GFC,1006102335.0,4.7727831106664285,12
GFC,1006102345.0,3.833445976955648,12
GFC,1006102352.0,8.788029966627468,12
GFC,1006102399.0,2.1193868650145684,12
GFC,1006102402.0,6.5058404129220095,12
GFC,1006102403.0,4.878761881872422,12
GFC,1006102408.0,7.910476420058944,12
GFC,1006102409.0,4.592340150930369,12
GFC,1006102410.0,1.7906761917790093,12
GFC,1006102465.0,7.57384767756729,12
GFC,1006102481.0,2.681002481531886,12
GFC,1006102511.0,3.577640026762172,12
GFC,1006102559.0,0.0081688223281143,12
GFC,1006106033.0,4.833103935254826,12
GFC,2012104048.0,0.13895290169157534,12
GFC,2012104128.0,0.15345200603332573,12
GFC,2012104160.0,1.9455671043853753,12
GFC,2012104201.0,0.010687131042942935,12
GFC,2012104245.0,0.05096145829392141,12
GFC,2012104250.0,0.06223740431805763,12
GFC,2012104269.0,0.09900736509566359,12
GFC,2012104273.0,0.1138310608577263,12
GFC,2012104277.0,0.028097291976084317,12
GFC,2012104299.0,0.0956869295955353,12
GFC,2012104303.0,0.47873403450559815,12
GFC,2012104311.0,0.7876223506869814,12
GFC,2012104320.0,0.3753685641913327,12
GFC,2012104329.0,0.40760953551688367,12
GFC,2012104330.0,0.7805158588241605,12
GFC,2012104334.0,0.5206765247065468,12
GFC,2012104340.0,0.49033062655462306,12
GFC,2012104341.0,0.6195490122008992,12
GFC,2012104351.0,0.33215476385535214,12
GFC,2012104355.0,0.45633000000000007,12
GFC,2012104368.0,0.36581892978213376,12
GFC,2012104401.0,0.5494000025668379,12
GFC,2012104429.0,4.8786064410724075,12
GFC,2012104546.0,0.0315730801260773,12
GFC,2012104579.0,0.03243420912017555,12
GFC,2012104777.0,0.0953029271613342,12
GFC,2012104869.0,0.08043125431292573,12
GFC,2012104873.0,0.1071959109521599,12
GFC,2012104919.0,0.069967801210359,12
GFC,2012104921.0,0.07916576725634916,12
GFC,2012104971.0,0.13185286684054928,12
