Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM,FactCode,Packing flag
4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),1.0,CRT,Ingredient,2011104202,"FORMAX PAPER 4.1/4* 4,1/2",EA,20.408,0.190531858203547,0,20.408,0.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,1
4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),1.0,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002,0.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,1
4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),1.0,CRT,Ingredient,2011114306,CHICKEN FILLET REGULAR & SPICY,EA,1.015,1.51047034654377,0,1.015,0.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,1
4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),1.0,CRT,Ingredient,2011114821,BEEF BURGER ARABIC SPICES 1000 GM,EA,10.22,0.160000017982037,0,10.22,0.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,1
4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),1.0,CRT,Ingredient,3001310168,ROYAL BURGER - IRAQ,KGM,10.145,5.78640583558789,0,10.145,0.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102120,FENNEL,KGM,0.2,13.3234728955129,0,0.2,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102119,ANISE,KGM,0.1,14.6025487982985,0,0.1,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102110,SOYA PROTEIN CONCENTRATE,KGM,14.0,6.20111215402651,0,14.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102035,CINNAMON,KGM,0.1,17.9818869520623,0,0.1,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102015,PHOSPHATE,KGM,1.5,11.4907503295098,0,1.5,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102014,MONOSODIUM,KGM,1.2,6.44464093218299,0,1.2,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102012,CHILI,KGM,0.1,8.99999999808408,0,0.1,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102009,TABLE SALT,KGM,10.2,0.7,0,10.2,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102010,BLACK PEPPER POWDER,KGM,0.55,24.9885435024324,0,0.55,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
