,Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM,FactCode,Packing flag,Flag
14069,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013118034,PINK LABEL BARCODE FROZEN,EA,1.035,0.0036900051642162,0,1.035,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14070,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013117051,YELLOW SHEETS FOR TGI,EA,0.094,0.0131368780006517,0,0.094,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14071,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013114825,BBQ BEEF JUMBO 10*15 KWT BAG,EA,15.32,0.0162029158090439,0,15.32,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14072,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013105015,WHITE BAGS 60*70,EA,0.094,0.0235875703171427,0,0.094,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14073,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013104202,"BURGER PAPER 4-1/4"" X 4-1/2""",EA,153.177,0.0021779403871416,0,153.177,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14074,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013104201,CLIP BIG S 744,EA,15.32,0.0029822335551189,0,15.32,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14075,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102367,RED ARROW CHARDEX H / 20489522,KGM,0.0282,6.60661609540853,0,0.0282,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14076,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102158,CHARGRILL LIQUID,KGM,0.0448,6.50069371231486,0,0.0448,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14077,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102154,POLY PHOSPHATE (MIX),KGM,0.0282,1.41256945603342,0,0.0282,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14078,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102110,SOYA PROTEIN CONCENTRATE,KGM,0.2159,1.18148654218859,0,0.2159,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14079,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102058,NFC RUSK DYR- FSR 30351,KGM,0.5646,0.427931465200479,0,0.5646,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14080,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102014,MONOSODIUM,KGM,0.0498,0.400077154659129,0,0.0498,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14081,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102012,CHILI,KGM,0.0066,1.39990333209522,0,0.0066,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14082,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102011,WHITE PEPPER,KGM,0.0125,3.75002958710894,0,0.0125,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14083,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102010,BLACK PEPPER POWDER,KGM,0.0166,2.93749649704426,0,0.0166,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14084,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102009,TABLE SALT,KGM,0.0996,0.087500540039623,0,0.0996,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14085,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102008,Soya Protein TVP,KGM,0.7307,0.462385101398388,0,0.7307,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14086,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1006102002,CHARCOAL SPICES,KGM,0.1328,2.73694539918291,0,0.1328,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14087,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1005102559,WATER,KGM,1.9927,0.001,0,1.9927,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
